STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,20-04-2000,,,,,0.01,",,0,2400",0,"P,,0",0,"P,,0",76,",,0",43,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,21-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",53,",,0",38,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,22-04-2000,,,,,,,0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,23-04-2000,,,,,0.35,",,0,2400",0,"P,,0",0,"P,,0",66,",,0",38,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,24-04-2000,,,,,0.18,",,0,2400",0,"P,,0",0,"P,,0",55,",,0",46,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,25-04-2000,,,,,0,",,0,2400",0,"P,,0",0,"P,,0",66,",,0",43,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,26-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",68,",,0",40,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,27-04-2000,,,,,0,"T,,0,2400",0,"P,,0",0,"P,,0",68,",,0",42,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,28-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",70,",,0",43,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,29-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
